,District,Active Cases,Recovered,Confirmed,Deaths
756,Hooghly,565,80649,82138,924
757,Howrah,522,92872,94880,1486
758,Jalpaiguri,626,39101,40269,542
759,Jhargram,308,11094,11429,27
760,Kalimpong,274,6195,6513,44
761,Kolkata,835,305367,311183,4981
762,Malda,67,32448,32700,185
763,Murshidabad,58,33253,33633,322
764,Nadia,648,68302,69668,718
765,North 24 Parganas,1213,314358,320162,4591
766,Other State,0,63,66,3
767,Paschim Bardhaman,203,55852,56402,347
768,Paschim Medinipur,595,50006,51094,493
769,Purba Bardhaman,342,39715,40241,184
770,Purba Medinipur,692,59802,60872,378
771,Purulia,55,19038,19205,112
772,South 24 Parganas,658,94656,96592,1278
773,Uttar Dinajpur,126,19154,19513,233
